,RMSE,MAE,MAPE,temperature_coef,holiday_coef,RMSE_Improvement_%,MAE_Improvement_%,MAPE_Improvement_%
Mean,4397.29969422285,3788.8331219242546,6.96923835716112,,,-46.25,-63.42,-58.07
Naïve,4459.108546494938,3783.2029342185588,6.790081967086296,,,-48.3,-63.17,-54.01
Seasonal Naïve,3006.7608119599954,2318.5205853174602,4.408919739301198,,,0.0,0.0,0.0
Drift,5112.488212617108,4335.928103578247,8.041260130169704,,,-70.03,-87.01,-82.39
SARIMA,3728.151416978786,3010.98735083625,5.7186561418758695,,,-23.99,-29.87,-29.71
SARIMAX,4248.850738392988,3496.019182120723,6.624691713342154,-115.3304557686657,-192.530048898199,-41.31,-50.79,-50.26
Random Forest,2262.4138378415996,1610.4113977597199,3.081982316470738,,,24.76,30.54,30.1
Gradient Boosting,2149.557779474691,1534.6637492183368,2.916962203099429,,,28.51,33.81,33.84
LSTM,13037.605497024511,10723.180927877462,22.55963760747818,,,-333.61,-362.5,-411.68
Bayesian,,,,,,,,
