,p,d,q,P,D,Q,AIC,BIC
255,3,1,3,1,1,1,3392.531793611307,3421.849251959557
59,0,1,3,0,1,1,3395.5444475801733,3411.8319244403124
251,3,1,3,0,1,1,3396.5473856570648,3422.607348633287
123,1,1,3,0,1,1,3397.456891194409,3417.0018634265757
187,2,1,3,0,1,1,3398.8523881841556,3421.6548557883502
191,2,1,3,1,1,1,3403.1052853686997,3429.165248344922
127,1,1,3,1,1,1,3403.3375630447763,3426.140030648971
63,0,1,3,1,1,1,3403.9572854902367,3423.5022577224036
179,2,1,2,0,1,1,3410.1761593685114,3429.7523005019407
51,0,1,2,0,1,1,3411.6078796358215,3424.658640391441
119,1,1,2,1,1,1,3411.816481224618,3431.3926223580474
55,0,1,2,1,1,1,3412.226418809154,3428.5398697536784
159,2,0,3,1,1,1,3413.7536479977516,3439.855169508991
115,1,1,2,0,1,1,3414.8236984114237,3431.137149355948
219,3,0,3,0,1,1,3415.6135925345216,3441.715114045761
95,1,0,3,1,1,1,3415.657657963916,3438.49648928625
223,3,0,3,1,1,1,3415.6832814374366,3445.0474931375807
243,3,1,2,0,1,1,3416.237251643746,3439.07608296608
155,2,0,3,0,1,1,3417.271237502714,3440.110068825048
91,1,0,3,0,1,1,3417.7860552171705,3437.3621963506
247,3,1,2,1,1,1,3418.0426488272233,3444.1441703384626
254,3,1,3,1,1,0,3418.8213354867557,3444.922856997995
246,3,1,2,1,1,0,3419.5111862957674,3442.3500176181014
239,3,1,1,1,1,1,3420.322251287503,3443.161082609837
238,3,1,1,1,1,0,3422.2951179352376,3441.871259068667
183,2,1,2,1,1,1,3423.07825763179,3445.917088954124
107,1,1,1,0,1,1,3425.1361530211243,3438.2075856573774
230,3,1,0,1,1,0,3425.252786457763,3441.5662374022872
231,3,1,0,1,1,1,3426.104803185395,3445.6809443188245
111,1,1,1,1,1,1,3426.122933651486,3442.462224446803
235,3,1,1,0,1,1,3428.785489350678,3448.392638305058
222,3,0,3,1,1,0,3430.218625609777,3456.3614908822838
198,3,0,0,1,1,0,3431.8739647680954,3448.213255563412
211,3,0,2,0,1,1,3432.164522851553,3455.0395299649963
199,3,0,0,1,1,1,3432.5366973150276,3452.1438462694077
206,3,0,1,1,1,0,3432.5628265476516,3452.169975502032
147,2,0,2,0,1,1,3432.5738746202624,3452.1810235746425
171,2,1,1,0,1,1,3432.738788792632,3449.0780795879487
87,1,0,2,1,1,1,3433.2792477943103,3452.8863967486905
151,2,0,2,1,1,1,3433.421635481128,3456.296642594571
83,1,0,2,0,1,1,3433.460681695212,3449.7999724905285
207,3,0,1,1,1,1,3433.951649958005,3456.826657071448
214,3,0,2,1,1,0,3434.2339441634276,3457.108951276871
43,0,1,1,0,1,1,3434.376307462578,3444.179881939768
215,3,0,2,1,1,1,3435.228785165252,3461.3716504377585
47,0,1,1,1,1,1,3436.2286819931323,3449.3001146293855
174,2,1,1,1,1,0,3437.0239993223213,3453.363290117638
182,2,1,2,1,1,0,3437.400058305896,3457.007207260276
175,2,1,1,1,1,1,3438.8670248584003,3458.4741738127805
190,2,1,3,1,1,0,3441.1578721421533,3464.0328792555965
166,2,1,0,1,1,0,3442.1267605671765,3455.1981932034296
167,2,1,0,1,1,1,3442.9647064862193,3459.303997281536
139,2,0,1,0,1,1,3447.4016038543427,3463.7666016471617
31,0,0,3,1,1,1,3448.7423872785766,3468.318528412006
142,2,0,1,1,1,0,3449.3001439546097,3465.6651417474286
203,3,0,1,0,1,1,3449.3427375548426,3468.9807349062253
79,1,0,1,1,1,1,3449.4058423831566,3465.7708401759755
150,2,0,2,1,1,0,3451.2063995852022,3470.844396936585
143,2,0,1,1,1,1,3451.230101699048,3470.868099050431
75,1,0,1,0,1,1,3451.636712563415,3464.72871079767
118,1,1,2,1,1,0,3451.6822365391663,3468.0472343319852
158,2,0,3,1,1,0,3453.139690077249,3476.050686987195
110,1,1,1,1,1,0,3454.919004325229,3468.0110025594836
134,2,0,0,1,1,0,3455.310645593435,3468.4026438276896
135,2,0,0,1,1,1,3456.4356895009137,3472.8006872937326
27,0,0,3,0,1,1,3457.0366620052055,3473.35011294973
126,1,1,3,1,1,0,3459.401773749085,3479.0397711004675
163,2,1,0,0,1,1,3465.698190899481,3478.7901891337356
227,3,1,0,0,1,1,3465.85201323566,3482.2170110284787
78,1,0,1,1,1,0,3469.9068174074773,3483.0192760443992
102,1,1,0,1,1,0,3470.2863799713614,3480.1053786470525
86,1,0,2,1,1,0,3470.4150644930423,3486.805637789195
94,1,0,3,1,1,0,3472.384890770815,3492.0535787261983
99,1,1,0,0,1,1,3474.2104682144263,3484.0294668901174
54,0,1,2,1,1,0,3474.357388356976,3487.469846993898
103,1,1,0,1,1,1,3474.755091317726,3487.847089551981
195,3,0,0,0,1,1,3476.577469574576,3492.9680428707284
62,0,1,3,1,1,0,3477.579466858073,3493.9700401542254
23,0,0,2,1,1,1,3479.198037719953,3495.5373285152696
131,2,0,0,0,1,1,3479.7856154456626,3492.8980740825846
46,0,1,1,1,1,0,3480.5082543787403,3490.3425983564316
70,1,0,0,1,1,0,3481.9335886486724,3491.7679326263637
71,1,0,0,1,1,1,3482.951069666496,3496.063528303418
19,0,0,2,0,1,1,3484.826178609861,3497.897611246114
67,1,0,0,0,1,1,3490.9690133405034,3500.8033573181947
39,0,1,0,1,1,1,3492.7988890154593,3502.6178876911504
35,0,1,0,0,1,1,3497.9355156344445,3504.481514751572
15,0,0,1,1,1,1,3509.5283610868946,3522.6203593211494
38,0,1,0,1,1,0,3511.3082972841407,3517.864526602602
11,0,0,1,0,1,1,3520.315703330397,3530.134702006088
30,0,0,3,1,1,0,3530.1665673643192,3546.582586008009
22,0,0,2,1,1,0,3540.262403167677,3553.395218082629
14,0,0,1,1,1,0,3551.557036786742,3561.4066479729563
7,0,0,0,1,1,1,3600.2420721603626,3610.076416138054
3,0,0,0,0,1,1,3607.190549360233,3613.746778678694
6,0,0,0,1,1,0,3607.5316301073153,3614.0980375647914
125,1,1,3,1,0,1,4325.8048034842095,4350.2849810612615
253,3,1,3,1,0,1,4326.183076242916,4357.657590270555
61,0,1,3,1,0,1,4329.191897461982,4350.1749068137415
237,3,1,1,1,0,1,4342.463902500394,4366.972709974208
181,2,1,2,1,0,1,4342.767321883699,4367.276129357512
245,3,1,2,1,0,1,4344.319308083543,4372.3293737679005
236,3,1,1,1,0,0,4344.943425014863,4365.950974278132
53,0,1,2,1,0,1,4346.829620116384,4364.335911169108
252,3,1,3,1,0,0,4348.346760574279,4376.356826258637
117,1,1,2,1,0,1,4349.425630394215,4370.433179657483
244,3,1,2,1,0,0,4350.465631712361,4374.974439186174
186,2,1,3,0,1,0,4351.274226020783,4372.257235372543
250,3,1,3,0,1,0,4352.496750560909,4376.976928137961
229,3,1,0,1,0,1,4355.8110361857325,4376.818585449001
228,3,1,0,1,0,0,4357.254490140142,4374.760781192866
58,0,1,3,0,1,0,4357.870218884528,4371.858891785701
122,1,1,3,0,1,0,4359.404716805886,4376.890557932352
173,2,1,1,1,0,1,4361.696989432521,4382.728978648115
109,1,1,1,1,0,1,4362.739819571052,4380.266477250714
45,0,1,1,1,0,1,4362.902020443797,4376.923346587526
172,2,1,1,1,0,0,4364.237434138842,4381.764091818504
188,2,1,3,1,0,0,4365.8251269441835,4390.36244769571
180,2,1,2,1,0,0,4365.979797379074,4387.011786594668
90,1,0,3,0,1,0,4366.50803147402,4384.014322526744
205,3,0,1,1,0,1,4367.745482736893,4392.28280348842
154,2,0,3,0,1,0,4368.084375180613,4389.091924443882
218,3,0,3,0,1,0,4369.812475561201,4394.321283035014
189,2,1,3,1,0,1,4371.758100433845,4399.735446236191
165,2,1,0,1,0,1,4374.476415262387,4392.003072942049
164,2,1,0,1,0,0,4375.33514616944,4389.356472313169
196,3,0,0,1,0,0,4376.979825750128,4394.50648342979
50,0,1,2,0,1,0,4377.7822415161245,4388.286016147758
114,1,1,2,0,1,0,4379.5438018491,4393.548834691279
226,3,1,0,0,1,0,4380.352739411835,4394.357772254013
178,2,1,2,0,1,0,4380.594616056991,4398.100907109715
234,3,1,1,0,1,0,4380.601945355973,4398.108236408697
